Date,"Volatility of Returns (Session:US Open 7-10 ET, Interval:1m, Symbol:ZB)",ZScore wrt All Days,ZScore wrt Given Days
2025-09-29,5.5,-0.7976727403285845,-0.7976727403285845
2025-09-30,7.0,-0.41627037424006835,-0.41627037424006835
2025-10-01,11.0,0.6008026019959747,0.6008026019959747
2025-10-02,8.5,-0.03486800815155222,-0.03486800815155222
2025-10-06,6.0,-0.6705386182990791,-0.6705386182990791
2025-10-07,8.0,-0.1620021301810576,-0.1620021301810576
2025-10-08,4.0,-1.1790751064171008,-1.1790751064171008
2025-10-09,10.5,0.4736684799664693,0.4736684799664693
2025-10-10,5.5,-0.7976727403285845,-0.7976727403285845
2025-10-13,7.5,-0.289136252210563,-0.289136252210563
2025-10-14,12.5,0.9822049680844909,0.9822049680844909
2025-10-17,9.5,0.21940023590745855,0.21940023590745855
2025-10-20,8.0,-0.1620021301810576,-0.1620021301810576
2025-10-21,10.0,0.3465343579369639,0.3465343579369639
2025-10-22,9.0,0.09226611387795317,0.09226611387795317
2025-10-23,5.0,-0.92480686235809,-0.92480686235809
2025-10-27,7.5,-0.289136252210563,-0.289136252210563
2025-10-28,6.0,-0.6705386182990791,-0.6705386182990791
2025-10-29,4.0,-1.1790751064171008,-1.1790751064171008
2025-11-03,6.5,-0.5434044962695738,-0.5434044962695738
2025-11-04,4.5,-1.0519409843875953,-1.0519409843875953
2025-11-05,10.0,0.3465343579369639,0.3465343579369639
2025-11-06,10.0,0.3465343579369639,0.3465343579369639
2025-11-10,11.0,0.6008026019959747,0.6008026019959747
2025-11-11,12.5,0.9822049680844909,0.9822049680844909
2025-11-12,4.5,-1.0519409843875953,-1.0519409843875953
2025-11-17,7.5,-0.289136252210563,-0.289136252210563
2025-11-18,4.5,-1.0519409843875953,-1.0519409843875953
2025-11-19,5.5,-0.7976727403285845,-0.7976727403285845
2025-11-24,5.5,-0.7976727403285845,-0.7976727403285845
2025-12-01,18.5,2.5078144324385554,2.5078144324385554
2025-12-02,12.0,0.8550708460549855,0.8550708460549855
2025-12-03,11.5,0.72793672402548,0.72793672402548
2025-12-04,14.0,1.363607334173007,1.363607334173007
2025-12-08,14.0,1.363607334173007,1.363607334173007
2025-12-09,7.5,-0.289136252210563,-0.289136252210563
2025-12-10,8.5,-0.03486800815155222,-0.03486800815155222
2025-12-12,8.5,-0.03486800815155222,-0.03486800815155222
2025-12-15,6.5,-0.5434044962695738,-0.5434044962695738
2025-12-17,5.5,-0.7976727403285845,-0.7976727403285845
2025-12-19,4.5,-1.0519409843875953,-1.0519409843875953
2025-12-22,4.5,-1.0519409843875953,-1.0519409843875953
2025-12-26,7.0,-0.41627037424006835,-0.41627037424006835
2025-12-29,4.0,-1.1790751064171008,-1.1790751064171008
2025-12-30,6.0,-0.6705386182990791,-0.6705386182990791
2025-12-31,12.5,0.9822049680844909,0.9822049680844909
