Date,"Volatility of Returns (Session:All day, Interval:15m, Symbol:ZN)",ZScore wrt All Days,ZScore wrt Given Days
2025-02-24,9.75,0.5282200837258473,0.5282200837258473
2025-02-25,11.25,0.844061870602441,0.844061870602441
2025-02-26,10.75,0.7387812749769097,0.7387812749769097
2025-03-02,3.0,-0.8930679572188244,-0.8930679572188244
2025-03-03,17.0,2.05478872029605,2.05478872029605
2025-03-04,19.0,2.4759111027981753,2.4759111027981753
2025-03-05,16.0,1.8442275290449879,1.8442275290449879
2025-03-06,10.25,0.6335006793513785,0.6335006793513785
2025-03-09,4.0,-0.6825067659677619,-0.6825067659677619
2025-03-10,17.25,2.107429018108816,2.107429018108816
2025-03-11,13.25,1.2651842531045658,1.2651842531045658
2025-03-14,5.75,-0.3140246812784026,-0.3140246812784026
2025-03-16,3.5,-0.7877873615932932,-0.7877873615932932
2025-03-17,6.25,-0.20874408565287136,-0.20874408565287136
2025-03-18,7.5,0.05445740341095672,0.05445740341095672
2025-03-19,11.25,0.844061870602441,0.844061870602441
2025-03-20,8.5,0.2650185946620192,0.2650185946620192
2025-03-21,6.5,-0.15610378784010576,-0.15610378784010576
2025-03-23,3.0,-0.8930679572188244,-0.8930679572188244
2025-03-24,7.5,0.05445740341095672,0.05445740341095672
2025-03-25,8.0,0.15973799903648797,0.15973799903648797
2025-03-26,5.25,-0.4193052769039338,-0.4193052769039338
2025-03-30,5.75,-0.3140246812784026,-0.3140246812784026
2025-03-31,9.25,0.42293948810031606,0.42293948810031606
2025-04-01,7.75,0.10709770122372234,0.10709770122372234
2025-04-02,25.75,3.897199143742847,3.897199143742847
2025-04-03,17.25,2.107429018108816,2.107429018108816
2025-04-04,20.25,2.7391125918620034,2.7391125918620034
2025-04-06,14.75,1.5810260399811595,1.5810260399811595
2025-04-07,38.25,6.529214034381128,6.529214034381128
2025-04-08,32.5,5.318487184687519,5.318487184687519
2025-04-09,19.5,2.5811916984237064,2.5811916984237064
2025-04-13,9.25,0.42293948810031606,0.42293948810031606
2025-04-14,16.25,1.8968678268577535,1.8968678268577535
2025-04-15,11.5,0.8967021684152066,0.8967021684152066
2025-04-16,10.25,0.6335006793513785,0.6335006793513785
2025-04-17,6.0,-0.26138438346563697,-0.26138438346563697
2025-04-20,2.5,-0.9983485528443556,-0.9983485528443556
2025-04-21,9.75,0.5282200837258473,0.5282200837258473
2025-04-22,8.0,0.15973799903648797,0.15973799903648797
2025-04-23,11.5,0.8967021684152066,0.8967021684152066
2025-04-24,8.0,0.15973799903648797,0.15973799903648797
2025-04-25,9.75,0.5282200837258473,0.5282200837258473
2025-04-27,2.25,-1.0509888506571212,-1.0509888506571212
2025-04-28,10.5,0.6861409771641441,0.6861409771641441
2025-04-29,9.75,0.5282200837258473,0.5282200837258473
2025-05-01,14.5,1.528385742168394,1.528385742168394
2025-05-04,3.5,-0.7877873615932932,-0.7877873615932932
2025-05-05,8.25,0.21237829684925358,0.21237829684925358
2025-05-06,8.5,0.2650185946620192,0.2650185946620192
2025-05-07,9.0,0.37029919028755043,0.37029919028755043
2025-05-08,12.5,1.107263359666269,1.107263359666269
2025-05-09,5.0,-0.47194557471669946,-0.47194557471669946
2025-05-11,2.0,-1.1036291484698868,-1.1036291484698868
2025-05-12,9.0,0.37029919028755043,0.37029919028755043
2025-05-14,11.25,0.844061870602441,0.844061870602441
2025-05-16,11.25,0.844061870602441,0.844061870602441
2025-05-18,5.25,-0.4193052769039338,-0.4193052769039338
2025-05-19,12.0,1.001982764040738,1.001982764040738
2025-05-20,7.25,0.0018171055981911063,0.0018171055981911063
2025-05-21,10.25,0.6335006793513785,0.6335006793513785
2025-05-22,10.75,0.7387812749769097,0.7387812749769097
2025-05-23,10.5,0.6861409771641441,0.6861409771641441
2025-05-25,5.0,-0.47194557471669946,-0.47194557471669946
2025-05-26,7.0,-0.050823192214574514,-0.050823192214574514
2025-05-27,6.25,-0.20874408565287136,-0.20874408565287136
2025-05-28,10.75,0.7387812749769097,0.7387812749769097
2025-06-01,4.0,-0.6825067659677619,-0.6825067659677619
2025-06-02,6.25,-0.20874408565287136,-0.20874408565287136
2025-06-03,7.5,0.05445740341095672,0.05445740341095672
2025-06-04,13.25,1.2651842531045658,1.2651842531045658
2025-06-05,11.5,0.8967021684152066,0.8967021684152066
2025-06-08,3.0,-0.8930679572188244,-0.8930679572188244
2025-06-09,5.25,-0.4193052769039338,-0.4193052769039338
2025-06-10,5.25,-0.4193052769039338,-0.4193052769039338
2025-06-13,14.25,1.4757454443556284,1.4757454443556284
2025-06-15,4.0,-0.6825067659677619,-0.6825067659677619
2025-06-16,7.25,0.0018171055981911063,0.0018171055981911063
2025-06-17,7.0,-0.050823192214574514,-0.050823192214574514
2025-06-18,7.0,-0.050823192214574514,-0.050823192214574514
2025-06-19,5.25,-0.4193052769039338,-0.4193052769039338
2025-06-20,9.5,0.47557978591308164,0.47557978591308164
2025-06-22,5.25,-0.4193052769039338,-0.4193052769039338
2025-06-23,13.75,1.3704648487300972,1.3704648487300972
2025-06-24,7.5,0.05445740341095672,0.05445740341095672
2025-06-25,7.5,0.05445740341095672,0.05445740341095672
2025-06-29,2.5,-0.9983485528443556,-0.9983485528443556
2025-06-30,7.5,0.05445740341095672,0.05445740341095672
2025-07-01,11.0,0.7914215727896754,0.7914215727896754
2025-07-02,6.25,-0.20874408565287136,-0.20874408565287136
2025-07-04,4.5,-0.5772261703422307,-0.5772261703422307
2025-07-06,2.0,-1.1036291484698868,-1.1036291484698868
2025-07-07,7.5,0.05445740341095672,0.05445740341095672
2025-07-08,5.5,-0.36666497909116824,-0.36666497909116824
2025-07-09,11.0,0.7914215727896754,0.7914215727896754
2025-07-10,4.75,-0.5245858725294651,-0.5245858725294651
2025-07-11,7.0,-0.050823192214574514,-0.050823192214574514
2025-07-13,0.0,-1.5247515309720119,-1.5247515309720119
2025-07-14,4.5,-0.5772261703422307,-0.5772261703422307
2025-07-17,5.5,-0.36666497909116824,-0.36666497909116824
2025-07-18,4.75,-0.5245858725294651,-0.5245858725294651
2025-07-21,7.5,0.05445740341095672,0.05445740341095672
2025-07-22,7.25,0.0018171055981911063,0.0018171055981911063
2025-07-23,5.75,-0.3140246812784026,-0.3140246812784026
2025-07-24,6.0,-0.26138438346563697,-0.26138438346563697
2025-07-25,5.0,-0.47194557471669946,-0.47194557471669946
2025-07-27,0.0,-1.5247515309720119,-1.5247515309720119
2025-07-28,5.25,-0.4193052769039338,-0.4193052769039338
2025-07-29,10.5,0.6861409771641441,0.6861409771641441
2025-08-03,0.0,-1.5247515309720119,-1.5247515309720119
2025-08-04,8.0,0.15973799903648797,0.15973799903648797
2025-08-05,4.5,-0.5772261703422307,-0.5772261703422307
2025-08-06,4.25,-0.6298664681549963,-0.6298664681549963
2025-08-07,3.75,-0.7351470637805275,-0.7351470637805275
2025-08-08,5.25,-0.4193052769039338,-0.4193052769039338
2025-08-10,0.0,-1.5247515309720119,-1.5247515309720119
2025-08-11,4.5,-0.5772261703422307,-0.5772261703422307
2025-08-13,7.75,0.10709770122372234,0.10709770122372234
2025-08-15,6.5,-0.15610378784010576,-0.15610378784010576
2025-08-17,0.0,-1.5247515309720119,-1.5247515309720119
2025-08-18,6.0,-0.26138438346563697,-0.26138438346563697
2025-08-19,5.25,-0.4193052769039338,-0.4193052769039338
2025-08-20,5.75,-0.3140246812784026,-0.3140246812784026
2025-08-21,6.75,-0.10346349002734014,-0.10346349002734014
2025-08-22,12.25,1.0546230618535035,1.0546230618535035
2025-08-24,0.0,-1.5247515309720119,-1.5247515309720119
2025-08-25,4.5,-0.5772261703422307,-0.5772261703422307
2025-08-26,7.0,-0.050823192214574514,-0.050823192214574514
2025-08-27,8.0,0.15973799903648797,0.15973799903648797
2025-08-31,0.75,-1.366830637533715,-1.366830637533715
2025-09-02,7.0,-0.050823192214574514,-0.050823192214574514
2025-09-03,10.25,0.6335006793513785,0.6335006793513785
2025-09-04,7.0,-0.050823192214574514,-0.050823192214574514
2025-09-07,0.0,-1.5247515309720119,-1.5247515309720119
2025-09-08,6.0,-0.26138438346563697,-0.26138438346563697
2025-09-12,6.25,-0.20874408565287136,-0.20874408565287136
2025-09-14,0.0,-1.5247515309720119,-1.5247515309720119
2025-09-15,6.25,-0.20874408565287136,-0.20874408565287136
2025-09-16,3.25,-0.8404276594060588,-0.8404276594060588
2025-09-17,10.75,0.7387812749769097,0.7387812749769097
2025-09-18,10.25,0.6335006793513785,0.6335006793513785
2025-09-19,4.0,-0.6825067659677619,-0.6825067659677619
2025-09-21,0.0,-1.5247515309720119,-1.5247515309720119
2025-09-22,4.0,-0.6825067659677619,-0.6825067659677619
2025-09-23,4.75,-0.5245858725294651,-0.5245858725294651
2025-09-24,6.75,-0.10346349002734014,-0.10346349002734014
2025-09-28,1.75,-1.1562694462826524,-1.1562694462826524
2025-09-29,3.75,-0.7351470637805275,-0.7351470637805275
2025-09-30,6.0,-0.26138438346563697,-0.26138438346563697
2025-10-01,9.25,0.42293948810031606,0.42293948810031606
2025-10-02,4.75,-0.5245858725294651,-0.5245858725294651
2025-10-05,0.0,-1.5247515309720119,-1.5247515309720119
2025-10-06,5.25,-0.4193052769039338,-0.4193052769039338
2025-10-07,7.25,0.0018171055981911063,0.0018171055981911063
2025-10-08,4.0,-0.6825067659677619,-0.6825067659677619
2025-10-09,4.5,-0.5772261703422307,-0.5772261703422307
2025-10-10,11.25,0.844061870602441,0.844061870602441
2025-10-12,0.0,-1.5247515309720119,-1.5247515309720119
2025-10-13,4.5,-0.5772261703422307,-0.5772261703422307
2025-10-14,5.751953125,-0.3136134289517404,-0.3136134289517404
2025-10-17,10.5,0.6861409771641441,0.6861409771641441
2025-10-19,0.0,-1.5247515309720119,-1.5247515309720119
2025-10-20,5.0,-0.47194557471669946,-0.47194557471669946
2025-10-21,5.0,-0.47194557471669946,-0.47194557471669946
2025-10-22,4.75,-0.5245858725294651,-0.5245858725294651
2025-10-23,7.0,-0.050823192214574514,-0.050823192214574514
2025-10-26,0.0,-1.5247515309720119,-1.5247515309720119
2025-10-27,6.75,-0.10346349002734014,-0.10346349002734014
2025-10-28,4.5,-0.5772261703422307,-0.5772261703422307
2025-10-29,12.25,1.0546230618535035,1.0546230618535035
2025-11-02,2.25,-1.0509888506571212,-1.0509888506571212
2025-11-03,4.0,-0.6825067659677619,-0.6825067659677619
2025-11-04,6.25,-0.20874408565287136,-0.20874408565287136
2025-11-05,10.75,0.7387812749769097,0.7387812749769097
2025-11-06,8.5,0.2650185946620192,0.2650185946620192
2025-11-09,5.0,-0.47194557471669946,-0.47194557471669946
2025-11-10,5.5,-0.36666497909116824,-0.36666497909116824
2025-11-11,7.0,-0.050823192214574514,-0.050823192214574514
2025-11-12,3.5,-0.7877873615932932,-0.7877873615932932
2025-11-16,1.5,-1.2089097440954182,-1.2089097440954182
2025-11-17,4.75,-0.5245858725294651,-0.5245858725294651
2025-11-18,4.25,-0.6298664681549963,-0.6298664681549963
2025-11-19,6.25,-0.20874408565287136,-0.20874408565287136
2025-11-21,5.5,-0.36666497909116824,-0.36666497909116824
2025-11-23,1.0,-1.3141903397209493,-1.3141903397209493
2025-11-24,4.5,-0.5772261703422307,-0.5772261703422307
2025-11-28,3.5,-0.7877873615932932,-0.7877873615932932
2025-11-30,3.0,-0.8930679572188244,-0.8930679572188244
2025-12-01,9.75,0.5282200837258473,0.5282200837258473
2025-12-02,6.5,-0.15610378784010576,-0.15610378784010576
2025-12-03,5.0,-0.47194557471669946,-0.47194557471669946
2025-12-04,6.0,-0.26138438346563697,-0.26138438346563697
2025-12-07,3.5,-0.7877873615932932,-0.7877873615932932
2025-12-08,8.75,0.3176588924747848,0.3176588924747848
2025-12-09,6.75,-0.10346349002734014,-0.10346349002734014
2025-12-10,10.75,0.7387812749769097,0.7387812749769097
2025-12-12,5.0,-0.47194557471669946,-0.47194557471669946
2025-12-14,1.75,-1.1562694462826524,-1.1562694462826524
2025-12-15,3.25,-0.8404276594060588,-0.8404276594060588
2025-12-17,4.75,-0.5245858725294651,-0.5245858725294651
2025-12-19,3.25,-0.8404276594060588,-0.8404276594060588
2025-12-21,2.0,-1.1036291484698868,-1.1036291484698868
2025-12-22,2.5,-0.9983485528443556,-0.9983485528443556
2025-12-24,0.75,-1.366830637533715,-1.366830637533715
2025-12-26,5.5,-0.36666497909116824,-0.36666497909116824
2025-12-28,1.75,-1.1562694462826524,-1.1562694462826524
2025-12-29,4.25,-0.6298664681549963,-0.6298664681549963
2025-12-30,3.5,-0.7877873615932932,-0.7877873615932932
2025-12-31,8.75,0.3176588924747848,0.3176588924747848
