Date,"Volatility of Returns (Session:London 0-7 ET, Interval:1m, Symbol:ZN)",ZScore wrt All Days,ZScore wrt Given Days
2025-06-16,5.0,0.604073279051416,0.604073279051416
2025-06-17,3.25,-0.29025731571204233,-0.29025731571204233
2025-06-18,4.5,0.34855025197614214,0.34855025197614214
2025-06-19,3.75,-0.03473428863676854,-0.03473428863676854
2025-06-20,5.75,0.9873578196643266,0.9873578196643266
2025-06-23,3.0,-0.4180188292496792,-0.4180188292496792
2025-06-24,3.75,-0.03473428863676854,-0.03473428863676854
2025-06-25,3.25,-0.29025731571204233,-0.29025731571204233
2025-06-30,5.0,0.604073279051416,0.604073279051416
2025-07-01,3.25,-0.29025731571204233,-0.29025731571204233
2025-07-02,4.25,0.22078873843850524,0.22078873843850524
2025-07-04,4.5,0.34855025197614214,0.34855025197614214
2025-07-07,3.5,-0.16249580217440543,-0.16249580217440543
2025-07-08,4.0,0.09302722490086834,0.09302722490086834
2025-07-09,2.75,-0.5457803427873161,-0.5457803427873161
2025-07-10,2.75,-0.5457803427873161,-0.5457803427873161
2025-07-11,3.75,-0.03473428863676854,-0.03473428863676854
2025-07-14,1.75,-1.0568263969378637,-1.0568263969378637
2025-07-17,2.75,-0.5457803427873161,-0.5457803427873161
2025-07-18,2.25,-0.8013033698625899,-0.8013033698625899
2025-07-21,5.25,0.7318347925890528,0.7318347925890528
2025-07-22,3.0,-0.4180188292496792,-0.4180188292496792
2025-07-23,2.25,-0.8013033698625899,-0.8013033698625899
2025-07-24,1.75,-1.0568263969378637,-1.0568263969378637
2025-07-25,3.75,-0.03473428863676854,-0.03473428863676854
2025-07-28,3.75,-0.03473428863676854,-0.03473428863676854
2025-07-29,2.75,-0.5457803427873161,-0.5457803427873161
2025-08-04,3.75,-0.03473428863676854,-0.03473428863676854
2025-08-05,2.0059814453125,-0.9260080893751563,-0.9260080893751563
2025-08-06,2.5,-0.673541856324953,-0.673541856324953
2025-08-07,2.25,-0.8013033698625899,-0.8013033698625899
2025-08-08,1.5,-1.1845879104755006,-1.1845879104755006
2025-08-11,2.75,-0.5457803427873161,-0.5457803427873161
2025-08-13,4.5,0.34855025197614214,0.34855025197614214
2025-08-15,2.75,-0.5457803427873161,-0.5457803427873161
2025-08-18,3.0,-0.4180188292496792,-0.4180188292496792
2025-08-19,2.5,-0.673541856324953,-0.673541856324953
2025-08-20,3.25,-0.29025731571204233,-0.29025731571204233
2025-08-21,2.5,-0.673541856324953,-0.673541856324953
2025-08-22,2.0,-0.9290648834002267,-0.9290648834002267
2025-08-25,2.25,-0.8013033698625899,-0.8013033698625899
2025-08-26,2.25,-0.8013033698625899,-0.8013033698625899
2025-08-27,2.5,-0.673541856324953,-0.673541856324953
2025-09-02,5.25,0.7318347925890528,0.7318347925890528
2025-09-03,2.5,-0.673541856324953,-0.673541856324953
2025-09-04,3.25,-0.29025731571204233,-0.29025731571204233
2025-09-08,3.258056640625,-0.28614000131092704,-0.28614000131092704
2025-09-12,2.5,-0.673541856324953,-0.673541856324953
2025-09-15,3.5,-0.16249580217440543,-0.16249580217440543
2025-09-16,2.25,-0.8013033698625899,-0.8013033698625899
2025-09-17,2.5,-0.673541856324953,-0.673541856324953
2025-09-18,3.25,-0.29025731571204233,-0.29025731571204233
2025-09-19,2.75,-0.5457803427873161,-0.5457803427873161
2025-09-22,2.5,-0.673541856324953,-0.673541856324953
2025-09-23,2.5,-0.673541856324953,-0.673541856324953
2025-09-24,2.25,-0.8013033698625899,-0.8013033698625899
2025-09-29,2.5,-0.673541856324953,-0.673541856324953
2025-09-30,2.75,-0.5457803427873161,-0.5457803427873161
2025-10-01,2.5,-0.673541856324953,-0.673541856324953
2025-10-02,2.5,-0.673541856324953,-0.673541856324953
2025-10-06,4.0,0.09302722490086834,0.09302722490086834
2025-10-07,2.5,-0.673541856324953,-0.673541856324953
2025-10-08,2.75,-0.5457803427873161,-0.5457803427873161
2025-10-09,2.5,-0.673541856324953,-0.673541856324953
2025-10-10,2.5,-0.673541856324953,-0.673541856324953
2025-10-13,2.25,-0.8013033698625899,-0.8013033698625899
2025-10-14,5.751953125,0.9883559564888393,0.9883559564888393
2025-10-17,4.0,0.09302722490086834,0.09302722490086834
2025-10-20,2.0,-0.9290648834002267,-0.9290648834002267
2025-10-21,3.25,-0.29025731571204233,-0.29025731571204233
2025-10-22,2.0,-0.9290648834002267,-0.9290648834002267
2025-10-23,5.0,0.604073279051416,0.604073279051416
2025-10-27,5.0,0.604073279051416,0.604073279051416
2025-10-28,2.0,-0.9290648834002267,-0.9290648834002267
2025-10-29,2.5,-0.673541856324953,-0.673541856324953
2025-11-03,2.75,-0.5457803427873161,-0.5457803427873161
2025-11-04,3.5,-0.16249580217440543,-0.16249580217440543
2025-11-05,2.75,-0.5457803427873161,-0.5457803427873161
2025-11-06,3.0,-0.4180188292496792,-0.4180188292496792
2025-11-10,2.75,-0.5457803427873161,-0.5457803427873161
2025-11-11,1.25,-1.3123494240131375,-1.3123494240131375
2025-11-12,1.5,-1.1845879104755006,-1.1845879104755006
2025-11-17,3.25,-0.29025731571204233,-0.29025731571204233
2025-11-18,2.5,-0.673541856324953,-0.673541856324953
2025-11-19,2.25,-0.8013033698625899,-0.8013033698625899
2025-11-21,5.5,0.8595963061266897,0.8595963061266897
2025-11-24,2.25,-0.8013033698625899,-0.8013033698625899
2025-12-01,2.75,-0.5457803427873161,-0.5457803427873161
2025-12-02,3.5,-0.16249580217440543,-0.16249580217440543
2025-12-03,3.25,-0.29025731571204233,-0.29025731571204233
2025-12-04,3.5,-0.16249580217440543,-0.16249580217440543
2025-12-08,4.0,0.09302722490086834,0.09302722490086834
2025-12-09,3.75,-0.03473428863676854,-0.03473428863676854
2025-12-10,3.75,-0.03473428863676854,-0.03473428863676854
2025-12-12,2.5,-0.673541856324953,-0.673541856324953
2025-12-15,2.25,-0.8013033698625899,-0.8013033698625899
2025-12-17,6.0,1.1151193332019635,1.1151193332019635
2025-12-19,2.25,-0.8013033698625899,-0.8013033698625899
2025-12-22,1.25,-1.3123494240131375,-1.3123494240131375
2025-12-26,3.25,-0.29025731571204233,-0.29025731571204233
2025-12-29,3.25,-0.29025731571204233,-0.29025731571204233
2025-12-30,1.25,-1.3123494240131375,-1.3123494240131375
2025-12-31,2.75,-0.5457803427873161,-0.5457803427873161
