Date,"Volatility of Returns (Session:US Mid 10-15 ET, Interval:1m, Symbol:ZF)",ZScore wrt All Days,ZScore wrt Given Days
2025-08-18,1.25,-0.8869531687116992,-0.8869531687116992
2025-08-19,1.0,-1.013660764241942,-1.013660764241942
2025-08-20,1.875,-0.5701841798860923,-0.5701841798860923
2025-08-21,1.875,-0.5701841798860923,-0.5701841798860923
2025-08-22,2.5,-0.2534151910604855,-0.2534151910604855
2025-08-25,1.75,-0.6335379776512137,-0.6335379776512137
2025-08-26,2.5,-0.2534151910604855,-0.2534151910604855
2025-08-27,6.25,1.6471987418931555,1.6471987418931555
2025-09-02,2.125,-0.4434765843558496,-0.4434765843558496
2025-09-03,3.75,0.38012278659072823,0.38012278659072823
2025-09-04,4.375,0.6968917754163351,0.6968917754163351
2025-09-08,2.125,-0.4434765843558496,-0.4434765843558496
2025-09-12,2.25,-0.38012278659072823,-0.38012278659072823
2025-09-15,1.0,-1.013660764241942,-1.013660764241942
2025-09-16,2.0,-0.506830382120971,-0.506830382120971
2025-09-17,4.625,0.8235993709465778,0.8235993709465778
2025-09-18,2.25,-0.38012278659072823,-0.38012278659072823
2025-09-19,1.75,-0.6335379776512137,-0.6335379776512137
2025-09-22,1.625,-0.6968917754163351,-0.6968917754163351
2025-09-23,2.625,-0.19006139329536412,-0.19006139329536412
2025-09-24,1.25,-0.8869531687116992,-0.8869531687116992
2025-09-29,1.125,-0.9503069664768206,-0.9503069664768206
2025-09-30,2.375,-0.31676898882560683,-0.31676898882560683
2025-10-01,2.25,-0.38012278659072823,-0.38012278659072823
2025-10-02,1.875,-0.5701841798860923,-0.5701841798860923
2025-10-06,1.875,-0.5701841798860923,-0.5701841798860923
2025-10-07,1.125,-0.9503069664768206,-0.9503069664768206
2025-10-08,1.25,-0.8869531687116992,-0.8869531687116992
2025-10-09,1.0,-1.013660764241942,-1.013660764241942
2025-10-10,5.375,1.203722157537306,1.203722157537306
2025-10-13,2.0,-0.506830382120971,-0.506830382120971
2025-10-14,2.0,-0.506830382120971,-0.506830382120971
2025-10-17,1.75,-0.6335379776512137,-0.6335379776512137
2025-10-20,1.125,-0.9503069664768206,-0.9503069664768206
2025-10-21,1.625,-0.6968917754163351,-0.6968917754163351
2025-10-22,2.125,-0.4434765843558496,-0.4434765843558496
2025-10-23,2.0,-0.506830382120971,-0.506830382120971
2025-10-27,2.375,-0.31676898882560683,-0.31676898882560683
2025-10-28,1.5,-0.7602455731814565,-0.7602455731814565
2025-10-29,6.25,1.6471987418931555,1.6471987418931555
2025-11-03,1.625,-0.6968917754163351,-0.6968917754163351
2025-11-04,1.125,-0.9503069664768206,-0.9503069664768206
2025-11-05,1.75,-0.6335379776512137,-0.6335379776512137
2025-11-06,1.625,-0.6968917754163351,-0.6968917754163351
2025-11-10,1.625,-0.6968917754163351,-0.6968917754163351
2025-11-11,1.75,-0.6335379776512137,-0.6335379776512137
2025-11-12,0.875,-1.0770145620070632,-1.0770145620070632
2025-11-17,1.375,-0.8235993709465778,-0.8235993709465778
2025-11-18,2.875,-0.06335379776512137,-0.06335379776512137
2025-11-19,2.625,-0.19006139329536412,-0.19006139329536412
2025-11-21,3.125,0.06335379776512137,0.06335379776512137
2025-11-24,2.0,-0.506830382120971,-0.506830382120971
2025-11-28,3.125,0.06335379776512137,0.06335379776512137
2025-12-01,2.5,-0.2534151910604855,-0.2534151910604855
2025-12-02,2.625,-0.19006139329536412,-0.19006139329536412
2025-12-03,2.75,-0.12670759553024274,-0.12670759553024274
2025-12-04,2.25,-0.38012278659072823,-0.38012278659072823
